1e-05,880030381,olt,90,4,9,2,20,start,0
2e-05,880032305,olt,90,4,9,2,21,start,0
3e-05,880031935,olt,90,4,9,2,22,start,0
4e-05,880032846,olt,90,4,9,2,23,start,0
5e-05,880031123,olt,90,4,9,6,24,start,0
6e-05,880031122,olt,90,4,9,6,25,start,0
7e-05,880032158,olt,90,4,9,6,26,start,0
8e-05,880032299,olt,90,4,9,6,20,start,0
9e-05,880031661,olt,90,4,8,7,20,start,0
0.0001,880030231,olt,90,4,8,7,20,start,0
0.00011,880032078,olt,90,4,8,7,20,start,0
0.00012,880031159,olt,90,4,8,7,20,start,0
0.00013,880031426,olt,90,4,8,6,20,start,0
0.00014,880031687,olt,90,4,8,6,20,start,0
0.00015,880032264,olt,90,4,8,6,20,start,0
0.00016,880032252,olt,90,4,8,6,20,start,0
0.00017,880032438,olt,90,2,5,10,20,start,0
0.00018,880032520,olt,90,2,5,10,20,start,0
0.00019,880031459,olt,90,2,5,10,20,start,0
0.0002,880032205,olt,90,2,5,10,20,start,0
0.00021,880032734,olt,90,2,5,11,20,start,0
0.00022,880032979,olt,90,2,5,11,20,start,0
0.00023,880031927,olt,90,2,5,11,20,start,0
0.00024,880032654,olt,90,2,5,11,20,start,0
0.00025,880030036,olt,90,2,8,12,20,start,0
0.00026,880030664,olt,90,2,8,12,20,start,0
0.00027,880032841,olt,90,2,8,12,20,start,0
0.00028,880032784,olt,90,2,8,12,20,start,0
0.00029,880030245,olt,90,2,8,12,20,start,0
0.0003,880030926,olt,90,2,8,12,20,start,0
0.00031,880031957,olt,90,2,8,12,20,start,0
0.00032,880031325,olt,90,2,8,12,20,start,0
0.00033,880032802,olt,35,10,10,3,91,stop,2
0.00034,880031595,olt,51,10,5,5,143,stop,2
0.00035,880032545,olt,97,6,7,1,43,stop,2
0.00036,880032136,olt,29,5,10,0,112,start,0
0.00037,880031860,olt,65,5,0,0,99,stop,2
0.00038,880030027,dslam,61,3,3,5,56,stop,2
0.00039,880032219,olt,57,7,0,3,40,stop,2
0.0004,880032821,dslam,86,8,2,2,197,start,0
0.00041,880030918,olt,0,5,6,3,36,stop,2
0.00042,880031809,olt,9,2,6,5,6,stop,2
0.00043,880031107,dslam,64,5,7,2,34,start,0
0.00044,880032520,dslam,14,2,1,2,48,stop,2
0.00045,880030104,olt,84,10,8,5,191,start,0
0.00046,880030538,olt,51,6,9,2,13,start,0
0.00047,880030068,dslam,37,2,1,4,11,stop,2
0.00048,880030887,dslam,91,7,10,1,75,start,0
0.00049,880030715,olt,28,5,7,3,28,stop,2
0.0005,880030241,olt,40,4,10,5,86,start,0
0.00051,880031548,olt,54,7,0,1,161,start,0
0.00052,880032521,olt,40,7,1,5,40,stop,2
0.00053,880032641,olt,25,4,7,3,168,stop,2
0.00054,880031851,olt,54,8,6,5,155,start,0
0.00055,880032135,olt,53,5,4,3,167,start,0
0.00056,880030379,dslam,27,6,5,4,152,start,0
0.00057,880032011,olt,3,8,1,4,65,stop,2
0.00058,880030220,olt,67,0,8,1,147,stop,2
0.00059,880030767,olt,31,7,10,5,74,stop,2
0.0006,880031860,dslam,46,10,8,4,53,start,0
0.00061,880031508,olt,2,1,9,2,147,start,0
0.00062,880031511,olt,59,6,8,5,50,stop,2
0.00063,880030055,olt,33,8,6,2,35,start,0
0.00064,880030515,olt,87,1,7,3,41,stop,2
0.00065,880032843,dslam,19,1,3,5,28,stop,2
0.00066,880032543,dslam,43,8,2,1,176,stop,2
0.00067,880032918,dslam,67,4,0,4,82,stop,2
0.00068,880031993,dslam,2,8,7,4,35,start,0
0.00069,880031195,dslam,7,0,5,3,53,start,0
0.0007,880031820,olt,96,10,0,3,118,start,0
0.00071,880032170,olt,98,2,6,3,105,stop,2
0.00072,880032389,dslam,74,4,4,0,134,start,0
0.00073,880032766,dslam,9,8,0,1,79,stop,2
0.00074,880032786,dslam,15,0,1,3,150,stop,2
0.00075,880031485,olt,28,1,1,5,18,stop,2
0.00076,880031642,olt,5,6,10,1,14,start,0
0.00077,880031804,olt,83,7,6,2,200,start,0
0.00078,880032029,dslam,89,9,5,2,128,start,0
0.00079,880031893,dslam,65,5,10,3,41,start,0
0.0008,880030948,olt,39,6,1,2,121,start,0
0.00081,880031950,olt,44,10,8,4,26,stop,2
0.00082,880030088,dslam,71,5,10,0,83,start,0
0.00083,880030359,dslam,59,2,7,3,118,start,0
0.00084,880032141,olt,41,4,3,2,137,start,0
0.00085,880032795,olt,44,0,5,5,33,stop,2
0.00086,880032391,dslam,83,3,9,0,198,start,0
0.00087,880031794,olt,62,10,1,0,200,stop,2
0.00088,880031285,dslam,97,0,1,3,104,start,0
0.00089,880031685,olt,55,3,3,0,10,start,0
0.0009,880031885,dslam,38,5,1,3,63,start,0
